STS	NMB	LNK	SYM	STY	MKT	EFT	SDE	PRC	SIZ	TRM	OPD	HDI	VER	DCV	TPA	TGP	BOK	ODT	IND	TRD	RGR	STD	STT	CLR	BRK	MBR	ACC	ACT	TOB	TOU	GRS	BNK	BKA	UTY	UTI	UUI	UWS	REF	CSQ	MKP	SSL	PRT	IAC	OQY	CQY	LQY	APX	LPX	OST	CLI	OCL	TXT	ROL	OSQ	IWF	IAL	EWF	EAL	DEA
1	37246536	0	ACBU	SHARE-ATS	XRS1	2018-09-11 12:02:18.872	2	3.800000	220	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-11 12:02:18.872	UK8GW3	192.168.252.2		136273	0	0	3	1031605	220	0	0	0.000000	0.000000	0				0	229981509	0	N	3	N	N
1	37244552	0	AMO	SHARE	REGS	2018-09-11 09:30:01.773	2	0.003100	6000	1	20180911	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-11 09:30:01.773	UK8GW3	192.168.252.2		136178	0	0	3	1032976	6000	0	0	0.000000	0.000000	0				0	229908214	0	N	3	N	N
1	37248396	0	ATB	SHARE	REGS	2018-09-11 17:25:52.524	1	0.488000	2500	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-11 17:25:52.524	UK8GW3	192.168.252.2		136354	0	0	3	1032792	2500	0	0	0.000000	0.000000	0				0	230165798	-42	N	-42	N	N
1	36517730	0	ATPA	SHARE	XRS1	2018-09-11 11:23:45.191	2	1.410000	2088	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-11 11:23:45.191	UK8GW3	192.168.252.2		136242	0	0	3	1027170	2088	0	0	0.000000	0.000000	0				0	229959962	0	N	3	N	N
1	36517730	0	ATPA	SHARE	XRS1	2018-09-11 11:21:13.469	2	1.400000	2088	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-11 11:21:13.47	UK8GW3	192.168.252.2		136239	0	0	3	1027170	2088	0	0	0.000000	0.000000	0				0	229959179	0	N	3	N	N
1	34875379	0	BIBU	SHARE-ATS	XRS1	2018-09-11 11:41:38.95	2	1.960000	2904	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-11 11:41:38.951	UK8GW3	192.168.252.2		136261	0	0	3	1027170	2904	0	0	0.000000	0.000000	0				0	229967627	0	N	3	N	N
1	37247665	0	BIO	SHARE	REGS	2018-09-11 15:03:48.599	1	0.327000	10000	1	20180911	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-11 15:03:48.599	UK8GW3	192.168.252.2		136313	0	0	3	1003175	10000	0	0	0.000000	0.000000	0				0	230068157	-115	N	-115	N	N
1	37248488	0	BKDOWTS53	STR-PRD	RGSP	2018-09-11 17:44:29.151	1	3.800000	250	1	20180911	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-11 17:44:29.151	UK8GW3	192.168.252.2		136364	0	0	3	1031634	250	0	0	0.000000	0.000000	0				0	230180427	0	N	3	N	N
1	37246195	0	BKDOWTS53	STR-PRD	RGSP	2018-09-11 11:23:23.088	2	3.690000	100	1	20180911	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-11 11:23:23.088	UK8GW3	192.168.252.2		136240	0	0	3	1240	100	0	0	0.000000	0.000000	0				0	229959784	0	N	-115	N	N
0	37246195	0	BKDOWTS53	STR-PRD	RGSP	2018-09-11 11:23:23.088	2	3.690000	100	1	20180911	0	0	0	1	0.000000	1	1	0	16763133	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-11 11:23:23.088	UK8GW3	192.168.252.2		0	0	0	3	1240	100	100	100	3.690000	3.690000	2				0	229959786	0	N	-115	N	N
0	37243234	0	BKDOWTS53	STR-PRD	RGSP	2018-09-10 17:03:19.151	1	3.180000	500	1	20180910	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			11	2018-09-11 00:00:12.897	system	system		0	0	0	3	1031634	500	0	0	0.000000	0.000000	12			72/out of term	0	229906253	0	N	3	N	N
0	37247439	0	BKDOWTS53	STR-PRD	RGSP	2018-09-11 14:23:52.126	1	3.920000	1000	1	20180911	0	0	0	1	0.000000	1	1	0	16764246	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-11 17:00:01.533	UK8GW3	192.168.252.2		0	0	0	3	1031634	1000	1000	1000	3.920000	3.920000	2				0	230140815	0	N	3	N	N
1	37247439	0	BKDOWTS53	STR-PRD	RGSP	2018-09-11 14:23:52.126	1	3.920000	1000	1	20180911	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-11 14:23:52.126	UK8GW3	192.168.252.2		136301	0	0	3	1031634	1000	0	0	0.000000	0.000000	0				0	230053709	0	N	3	N	N
0	37247520	0	BKDOWTS53	STR-PRD	RGSP	2018-09-11 14:40:20.819	1	4.120000	250	1	20180911	0	0	0	1	0.000000	1	1	0	16763830	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-11 14:40:20.82	UK8GW3	192.168.252.2		0	0	0	3	1031634	250	250	250	4.120000	4.120000	2				0	230060474	0	N	3	N	N
1	37247520	0	BKDOWTS53	STR-PRD	RGSP	2018-09-11 14:40:20.819	1	4.120000	250	1	20180911	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-11 14:40:20.819	UK8GW3	192.168.252.2		136305	0	0	3	1031634	250	0	0	0.000000	0.000000	0				0	230060473	0	N	3	N	N
0	37248488	0	BKDOWTS53	STR-PRD	RGSP	2018-09-11 17:44:29.151	1	3.800000	250	1	20180911	0	0	0	1	0.000000	1	1	0	16764403	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-11 17:44:32.425	UK8GW3	192.168.252.2		0	0	0	3	1031634	250	250	250	3.800000	3.800000	2				0	230180497	0	N	3	N	N
1	37247552	0	BKDOWTS58	STR-PRD	RGSP	2018-09-11 15:06:35.314	1	3.150000	100	1	20180911	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-11 15:06:35.314	UK8GW3	192.168.252.2		136314	0	0	3	1240	100	0	0	0.000000	0.000000	0				0	230069290	0	N	-115	N	N
1	37247552	0	BKDOWTS58	STR-PRD	RGSP	2018-09-11 14:44:00.836	1	2.960000	100	1	20180911	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-11 14:44:00.836	UK8GW3	192.168.252.2		136308	0	0	3	1240	100	0	0	0.000000	0.000000	0				0	230061569	0	N	-115	N	N
0	37247552	0	BKDOWTS58	STR-PRD	RGSP	2018-09-11 15:12:46.51	1	3.100000	100	1	20180911	0	0	0	1	0.000000	1	1	0	16763956	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-11 15:16:55.041	UK8GW3	192.168.252.2		0	0	0	3	1240	100	100	100	3.100000	3.100000	2				0	230075791	0	N	-115	N	N
1	37247552	0	BKDOWTS58	STR-PRD	RGSP	2018-09-11 15:12:46.51	1	3.100000	100	1	20180911	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-11 15:12:46.51	UK8GW3	192.168.252.2		136319	0	0	3	1240	100	0	0	0.000000	0.000000	0				0	230073185	0	N	-115	N	N
1	37247954	0	BNET	SHARE-ATS	XRS1	2018-09-11 15:54:41.635	2	1.400000	158	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-11 15:54:41.635	UK8GW3	192.168.252.2		136340	0	0	3	1031605	158	0	0	0.000000	0.000000	0				0	230090614	0	N	3	N	N
1	37247967	0	BRD	SHARE	REGS	2018-09-11 15:58:12.312	2	14.160000	80	1	20180911	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-11 15:58:12.312	UK8GW3	192.168.252.2		136341	0	0	3	1032976	80	0	0	0.000000	0.000000	0				0	230091837	0	N	3	N	N
1	37244568	0	BRD	SHARE	REGS	2018-09-11 09:30:03.276	2	14.300000	100	1	20180911	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-11 09:30:03.276	UK8GW3	192.168.252.2		136181	0	0	3	1002117	100	0	0	0.000000	0.000000	0				0	229908254	0	N	3	N	N
0	37243643	0	BRD	SHARE	REGS	2018-09-10 17:49:03.772	2	14.300000	100	1	20180910	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			11	2018-09-11 00:00:13.157	system	system		0	0	0	3	1002117	100	0	0	0.000000	0.000000	12			72/out of term	0	229906422	0	N	3	N	N
1	37232725	0	BRD	SHARE	REGS	2018-09-11 10:55:07.411	2	14.180000	2000	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-11 10:55:07.411	UK8GW3	192.168.252.2		136222	0	0	3	1032638	2000	0	0	0.000000	0.000000	0				0	229948586	0	N	3	N	N
1	37171572	0	BRD	SHARE	REGS	2018-09-11 11:21:03.429	2	14.500000	2000	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-11 11:21:03.429	UK8GW3	192.168.252.2		136238	0	0	3	1032732	2000	0	0	0.000000	0.000000	0				0	229959070	0	N	3	N	N
1	37246106	0	BRD	SHARE	REGS	2018-09-11 11:11:56.237	2	14.240000	400	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-11 11:11:56.237	UK8GW3	192.168.252.2		136235	0	0	3	1032637	400	0	0	0.000000	0.000000	0				0	229956003	0	N	3	N	N
1	37171582	0	BRD	SHARE	REGS	2018-09-11 11:34:24.262	2	14.500000	3000	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-11 11:34:24.262	UK8GW3	192.168.252.2		136253	0	0	3	1032732	3000	0	0	0.000000	0.000000	0				0	229964897	0	N	3	N	N
