STS	NMB	LNK	SYM	STY	MKT	EFT	SDE	PRC	SIZ	TRM	OPD	HDI	VER	DCV	TPA	TGP	BOK	ODT	IND	TRD	RGR	STD	STT	CLR	BRK	MBR	ACC	ACT	TOB	TOU	GRS	BNK	BKA	UTY	UTI	UUI	UWS	REF	CSQ	MKP	SSL	PRT	IAC	OQY	CQY	LQY	APX	LPX	OST	CLI	OCL	TXT	ROL	OSQ	IWF	IAL	EWF	EAL	DEA
0	37229152	0	ACBU	SHARE-ATS	XRS1	2018-09-06 12:03:21.035	2	3.800000	220	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			0	2018-09-10 16:02:46.688	UK8GW3	192.168.252.2		136110	0	0	3	1031605	220	0	0	0.000000	0.000000	4				0	229772690	0	N	3	N	N
1	35076410	0	ALB	SHARE-ATS	XRS1	2018-09-10 12:25:03.946	2	0.500000	1594	2	0	0	0	0	1	0.000000	1	1	0	16751425	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-10 12:25:03.947	UK8GW3	192.168.252.2		135984	0	0	3	1012931	1795	201	0	0.471096	0.000000	1				0	229687853	0	N	3	N	N
0	37243077	0	ALU	SHARE	REGS	2018-09-10 16:35:15.623	2	0.750000	8370	1	20180910	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			0	2018-09-10 16:41:39.878	UK8GW3	192.168.252.2		136138	0	0	3	1027170	8370	0	0	0.000000	0.000000	4				0	229800203	0	N	3	N	N
1	37241642	0	ALU	SHARE	REGS	2018-09-10 12:04:08.591	1	0.795000	1500	1	20180910	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-10 12:04:08.591	UK8GW3	192.168.252.2		135978	0	0	1	1032672	1500	0	0	0.000000	0.000000	0				0	229678480	0	N	3	N	N
1	37242174	0	ALU	SHARE	REGS	2018-09-10 13:47:51.555	1	0.750000	1000	1	20180910	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-10 13:47:51.555	UK8GW3	192.168.252.2		136064	0	0	3	1032415	1000	0	0	0.000000	0.000000	0				0	229721634	0	N	3	N	N
0	37240097	0	ALU	SHARE	REGS	2018-09-10 09:55:39.127	2	0.750000	2500	1	20180910	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			0	2018-09-10 13:47:40.755	UK8GW3	192.168.252.2		136063	0	0	3	1032415	2500	0	0	0.000000	0.000000	4				0	229721555	0	N	3	N	N
1	37242173	0	ALU	SHARE	REGS	2018-09-10 13:47:31.682	1	0.720000	1000	1	20180910	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-10 13:47:31.682	UK8GW3	192.168.252.2		136062	0	0	3	1032415	1000	0	0	0.000000	0.000000	0				0	229721517	0	N	3	N	N
0	37241642	0	ALU	SHARE	REGS	2018-09-10 12:04:08.591	1	0.750000	10	1	20180910	0	0	0	1	0.000000	1	1	0	16761369	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-10 12:04:08.595	UK8GW3	192.168.252.2		0	0	0	1	1032672	1500	1500	10	0.735100	0.750000	2				0	229678483	0	N	3	N	N
1	37241642	0	ALU	SHARE	REGS	2018-09-10 12:04:08.591	1	0.735000	10	1	20180910	0	0	0	1	0.000000	1	1	0	16761368	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-10 12:04:08.592	UK8GW3	192.168.252.2		0	0	0	1	1032672	1500	1490	1490	0.735000	0.735000	1				0	229678481	0	N	3	N	N
1	37243077	0	ALU	SHARE	REGS	2018-09-10 16:35:15.623	2	0.750000	8370	1	20180910	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-10 16:35:15.623	UK8GW3	192.168.252.2		136137	0	0	3	1027170	8370	0	0	0.000000	0.000000	0				0	229792073	0	N	3	N	N
1	37240097	0	ALU	SHARE	REGS	2018-09-10 09:55:39.127	2	0.750000	2500	1	20180910	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-10 09:55:39.127	UK8GW3	192.168.252.2		135926	0	0	3	1032415	2500	0	0	0.000000	0.000000	0				0	229587258	0	N	3	N	N
0	37242174	0	ALU	SHARE	REGS	2018-09-10 13:47:51.555	1	0.750000	1000	1	20180910	0	0	0	1	0.000000	1	1	0	16761807	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-10 13:47:51.556	UK8GW3	192.168.252.2		0	0	0	3	1032415	1000	1000	1000	0.750000	0.750000	2				0	229721635	0	N	3	N	N
0	37242173	0	ALU	SHARE	REGS	2018-09-10 13:47:31.682	1	0.720000	1000	1	20180910	0	0	0	1	0.000000	1	1	0	16762414	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-10 17:06:25.879	UK8GW3	192.168.252.2		0	0	0	3	1032415	1000	1000	1000	0.720000	0.720000	2				0	229829874	0	N	3	N	N
0	37216901	0	ALU	SHARE	REGS	2018-09-07 11:23:01.883	1	0.705000	12000	2	0	0	0	0	1	0.000000	1	1	0	16762425	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-10 17:07:10.828	UK8GW3	192.168.252.2		0	0	0	3	1032669	12000	12000	12000	0.705000	0.705000	2				0	229830557	0	N	3	N	N
0	37215798	0	ATB	SHARE	REGS	2018-09-03 09:30:03.745	1	0.494000	1000	2	0	0	0	0	1	0.000000	1	1	0	16761211	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-10 11:09:26.353	UK8GW3	192.168.252.2		0	0	0	3	1032430	1000	1000	1000	0.494000	0.494000	2				0	229652352	0	N	3	N	N
1	36517730	0	ATPA	SHARE	XRS1	2018-09-10 14:22:21.485	2	1.410000	2088	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-10 14:22:21.486	UK8GW3	192.168.252.2		136081	0	0	3	1027170	2088	0	0	0.000000	0.000000	0				0	229734739	0	N	3	N	N
1	36517730	0	ATPA	SHARE	XRS1	2018-09-10 16:31:58.165	2	4.200000	2088	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-10 16:31:58.166	UK8GW3	192.168.252.2		136134	0	0	3	1027170	2088	0	0	0.000000	0.000000	0				0	229787218	0	N	3	N	N
1	37187340	0	BALO	SHARE-ATS	XRS1	2018-09-10 12:30:54.291	2	9.450000	1140	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-10 12:31:59.066	UK8GW3	192.168.252.2		136001	0	0	3	1027170	1140	0	0	0.000000	0.000000	0				0	229691555	0	N	3	N	N
1	37187340	0	BALO	SHARE-ATS	XRS1	2018-09-10 12:30:54.291	2	9.450000	6140	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-10 12:30:54.291	UK8GW3	192.168.252.2		136000	0	0	3	1027170	6140	0	0	0.000000	0.000000	0				0	229691056	0	N	3	N	N
